DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
18-Aug-2023,EQ,"3,410.00","3,410.00","3,356.50","3,435.75","3,368.00","3,367.10","3,373.82","3,575.00","2,926.10",2526749,"8,52,47,93,143.10",150157
17-Aug-2023,EQ,"3,455.00","3,460.80","3,413.20","3,458.40","3,425.90","3,435.75","3,435.28","3,575.00","2,926.10",1843241,"6,33,20,40,272.50",122489
16-Aug-2023,EQ,"3,450.00","3,466.00","3,435.20","3,449.85","3,450.70","3,458.40","3,453.07","3,575.00","2,926.10",1328445,"4,58,72,15,413.45",102457
14-Aug-2023,EQ,"3,440.70","3,455.00","3,411.00","3,448.80","3,448.00","3,449.85","3,434.19","3,575.00","2,926.10",1190425,"4,08,81,41,282.40",145261
11-Aug-2023,EQ,"3,438.10","3,466.65","3,414.00","3,442.10","3,444.50","3,448.80","3,444.54","3,575.00","2,926.10",1679974,"5,78,67,38,907.20",142622
10-Aug-2023,EQ,"3,450.00","3,464.90","3,430.05","3,462.50","3,448.25","3,442.10","3,442.07","3,575.00","2,926.10",1096701,"3,77,49,18,908.55",76539
09-Aug-2023,EQ,"3,464.90","3,467.00","3,425.05","3,470.60","3,460.85","3,462.50","3,449.06","3,575.00","2,926.10",1794589,"6,18,96,41,425.50",89275
08-Aug-2023,EQ,"3,484.05","3,489.95","3,456.60","3,484.05","3,469.00","3,470.60","3,470.86","3,575.00","2,926.10",1634225,"5,67,21,69,905.30",119523
07-Aug-2023,EQ,"3,453.95","3,488.00","3,441.25","3,443.55","3,482.90","3,484.05","3,467.58","3,575.00","2,926.10",1853889,"6,42,85,12,875.30",108103
04-Aug-2023,EQ,"3,401.25","3,471.00","3,401.25","3,399.95","3,441.05","3,443.55","3,445.20","3,575.00","2,926.10",2248493,"7,74,65,18,305.90",118974
03-Aug-2023,EQ,"3,420.00","3,433.25","3,368.00","3,440.65","3,397.00","3,399.95","3,397.85","3,575.00","2,926.10",2026351,"6,88,52,30,549.20",136745
02-Aug-2023,EQ,"3,434.95","3,446.40","3,413.60","3,452.05","3,433.00","3,440.65","3,435.39","3,575.00","2,926.10",1914899,"6,57,84,28,884.55",116337
01-Aug-2023,EQ,"3,415.00","3,460.00","3,415.00","3,421.45","3,450.10","3,452.05","3,443.71","3,575.00","2,926.10",1956167,"6,73,64,74,356.40",101249
31-Jul-2023,EQ,"3,364.40","3,426.65","3,360.90","3,355.40","3,415.00","3,421.45","3,406.98","3,575.00","2,926.10",2743678,"9,34,76,45,416.85",121298
